continent,location,date,population,new_vaccinations,RollingPeopleVaccinated,Percent_Vaccinated
Asia,Afghanistan,2020-06-29,41128772,,,
Asia,Afghanistan,2020-06-30,41128772,,,
Asia,Afghanistan,2020-07-01,41128772,,,
Asia,Afghanistan,2020-07-02,41128772,,,
Asia,Afghanistan,2020-07-03,41128772,,,
Asia,Afghanistan,2020-07-04,41128772,,,
Asia,Afghanistan,2020-07-05,41128772,,,
Asia,Afghanistan,2020-07-06,41128772,,,
Asia,Afghanistan,2020-07-07,41128772,,,
Asia,Afghanistan,2020-07-08,41128772,,,
Asia,Afghanistan,2020-07-09,41128772,,,
Asia,Afghanistan,2020-07-10,41128772,,,
Asia,Afghanistan,2020-07-11,41128772,,,
Asia,Afghanistan,2020-07-12,41128772,,,
Asia,Afghanistan,2020-07-13,41128772,,,
Asia,Afghanistan,2020-07-14,41128772,,,
Asia,Afghanistan,2020-07-15,41128772,,,
Asia,Afghanistan,2020-07-16,41128772,,,
Asia,Afghanistan,2020-07-17,41128772,,,
Asia,Afghanistan,2020-07-18,41128772,,,
Asia,Afghanistan,2020-07-19,41128772,,,
Asia,Afghanistan,2020-07-20,41128772,,,
Asia,Afghanistan,2020-07-21,41128772,,,
Asia,Afghanistan,2020-07-22,41128772,,,
Asia,Afghanistan,2020-07-23,41128772,,,
Asia,Afghanistan,2020-07-24,41128772,,,
Asia,Afghanistan,2020-07-25,41128772,,,
Asia,Afghanistan,2020-07-26,41128772,,,
Asia,Afghanistan,2020-07-27,41128772,,,
Asia,Afghanistan,2020-07-28,41128772,,,
Asia,Afghanistan,2020-07-29,41128772,,,
Asia,Afghanistan,2020-07-30,41128772,,,
Asia,Afghanistan,2020-07-31,41128772,,,
Asia,Afghanistan,2020-08-01,41128772,,,
Asia,Afghanistan,2020-08-02,41128772,,,
Asia,Afghanistan,2020-08-03,41128772,,,
Asia,Afghanistan,2020-08-04,41128772,,,
Asia,Afghanistan,2020-08-05,41128772,,,
Asia,Afghanistan,2020-08-06,41128772,,,
Asia,Afghanistan,2020-08-07,41128772,,,
Asia,Afghanistan,2020-08-08,41128772,,,
Asia,Afghanistan,2020-08-09,41128772,,,
Asia,Afghanistan,2020-08-10,41128772,,,
Asia,Afghanistan,2020-08-11,41128772,,,
Asia,Afghanistan,2020-08-12,41128772,,,
Asia,Afghanistan,2020-08-13,41128772,,,
Asia,Afghanistan,2020-08-14,41128772,,,
Asia,Afghanistan,2020-08-15,41128772,,,
Asia,Afghanistan,2020-08-16,41128772,,,
Asia,Afghanistan,2020-08-17,41128772,,,
Asia,Afghanistan,2020-08-18,41128772,,,
Asia,Afghanistan,2020-08-19,41128772,,,
Asia,Afghanistan,2020-08-20,41128772,,,
Asia,Afghanistan,2020-08-21,41128772,,,
Asia,Afghanistan,2020-08-22,41128772,,,
Asia,Afghanistan,2020-08-23,41128772,,,
Asia,Afghanistan,2020-08-24,41128772,,,
Asia,Afghanistan,2020-08-25,41128772,,,
Asia,Afghanistan,2020-08-26,41128772,,,
Asia,Afghanistan,2020-08-27,41128772,,,
Asia,Afghanistan,2020-08-28,41128772,,,
Asia,Afghanistan,2020-08-29,41128772,,,
Asia,Afghanistan,2020-08-30,41128772,,,
Asia,Afghanistan,2020-08-31,41128772,,,
Asia,Afghanistan,2020-09-01,41128772,,,
Asia,Afghanistan,2020-09-02,41128772,,,
Asia,Afghanistan,2020-09-03,41128772,,,
Asia,Afghanistan,2020-09-04,41128772,,,
Asia,Afghanistan,2020-09-05,41128772,,,
Asia,Afghanistan,2020-09-06,41128772,,,
Asia,Afghanistan,2020-09-07,41128772,,,
Asia,Afghanistan,2020-09-08,41128772,,,
Asia,Afghanistan,2020-09-09,41128772,,,
Asia,Afghanistan,2020-09-10,41128772,,,
Asia,Afghanistan,2020-09-11,41128772,,,
Asia,Afghanistan,2020-09-12,41128772,,,
Asia,Afghanistan,2020-09-13,41128772,,,
Asia,Afghanistan,2020-09-14,41128772,,,
Asia,Afghanistan,2020-09-15,41128772,,,
Asia,Afghanistan,2020-09-16,41128772,,,
Asia,Afghanistan,2020-09-17,41128772,,,
Asia,Afghanistan,2020-09-18,41128772,,,
Asia,Afghanistan,2020-09-19,41128772,,,
Asia,Afghanistan,2020-09-20,41128772,,,
Asia,Afghanistan,2020-09-21,41128772,,,
Asia,Afghanistan,2020-09-22,41128772,,,
Asia,Afghanistan,2020-09-23,41128772,,,
Asia,Afghanistan,2020-09-24,41128772,,,
Asia,Afghanistan,2020-09-25,41128772,,,
Asia,Afghanistan,2020-09-26,41128772,,,
Asia,Afghanistan,2020-09-27,41128772,,,
Asia,Afghanistan,2020-09-28,41128772,,,
Asia,Afghanistan,2020-09-29,41128772,,,
Asia,Afghanistan,2020-09-30,41128772,,,
Asia,Afghanistan,2020-10-01,41128772,,,
Asia,Afghanistan,2020-10-02,41128772,,,
Asia,Afghanistan,2020-10-03,41128772,,,
Asia,Afghanistan,2020-10-04,41128772,,,
Asia,Afghanistan,2020-10-05,41128772,,,
